month,country,attacks,covid_cases
2020-01,United States,420,645167
2020-02,United States,1105,55886
2020-03,United States,1512,522430
2020-04,United States,1524,176203
2020-05,United States,2040,42090
2020-06,United States,2215,788201
2020-07,United States,4142,328069
2020-08,United States,3440,792743
2020-09,United States,6097,215176
2020-10,United States,4592,422909
2020-11,United States,4013,487232
2020-12,United States,5461,157730
2021-01,United States,6364,150503
2021-02,United States,6375,649143
2021-03,United States,6547,130981
2020-01,France,1329,592723
2020-02,France,2500,556839
2020-03,France,3643,332236
2020-04,France,5283,490492
2020-05,France,6011,350457
2020-06,France,9470,240931
2020-07,France,9012,699361
2020-08,France,8738,69148
2020-09,France,9329,252995
2020-10,France,11945,573843
2020-11,France,13596,897942
2020-12,France,11918,823352
2021-01,France,13749,725839
2021-02,France,20053,460773
2021-03,France,18822,342097
2020-01,China,1345,439974
2020-02,China,4023,203283
2020-03,China,6330,224165
2020-04,China,8388,536822
2020-05,China,6239,783038
2020-06,China,10115,580879
2020-07,China,14097,25300
2020-08,China,11464,534556
2020-09,China,15774,720064
2020-10,China,14428,517588
2020-11,China,14310,838646
2020-12,China,15907,49984
2021-01,China,28056,121151
2021-02,China,21816,134767
2021-03,China,17455,137330
2020-01,Brazil,389,130312
2020-02,Brazil,727,135633
2020-03,Brazil,936,629776
2020-04,Brazil,1711,795824
2020-05,Brazil,1835,376713
2020-06,Brazil,1544,822654
2020-07,Brazil,2636,648972
2020-08,Brazil,3114,457551
2020-09,Brazil,2652,895498
2020-10,Brazil,3357,140182
2020-11,Brazil,4244,185064
2020-12,Brazil,4651,624094
2021-01,Brazil,5172,616270
2021-02,Brazil,3444,219126
2021-03,Brazil,3909,548707
2020-01,India,622,51015
2020-02,India,1647,632347
2020-03,India,2369,875371
2020-04,India,3796,106878
2020-05,India,4044,199286
2020-06,India,5273,165899
2020-07,India,6758,862882
2020-08,India,6805,416515
2020-09,India,8635,65044
2020-10,India,6659,110556
2020-11,India,10257,882691
2020-12,India,7562,26939
2021-01,India,12249,153906
2021-02,India,9509,76766
2021-03,India,14158,569550
2020-01,Russia,800,653664
2020-02,Russia,2287,138848
2020-03,Russia,3756,580304
2020-04,Russia,3698,452269
2020-05,Russia,5280,751216
2020-06,Russia,6236,229576
2020-07,Russia,5644,166838
2020-08,Russia,6698,62087
2020-09,Russia,9550,594128
2020-10,Russia,9877,838437
2020-11,Russia,14855,194075
2020-12,Russia,10650,66318
2021-01,Russia,13616,417880
2021-02,Russia,11542,782239
2021-03,Russia,11301,814168
2020-01,Germany,1765,899613
2020-02,Germany,2522,432839
2020-03,Germany,6600,258426
2020-04,Germany,7824,743452
2020-05,Germany,8754,236167
2020-06,Germany,10913,720094
2020-07,Germany,13627,623794
2020-08,Germany,12978,812774
2020-09,Germany,18786,369452
2020-10,Germany,19040,614333
2020-11,Germany,19806,868055
2020-12,Germany,24986,356528
2021-01,Germany,20409,52663
2021-02,Germany,17774,312955
2021-03,Germany,23632,113547
2020-01,United Kingdom,721,763002
2020-02,United Kingdom,1300,215835
2020-03,United Kingdom,2725,478095
2020-04,United Kingdom,2668,888121
2020-05,United Kingdom,4318,658162
2020-06,United Kingdom,3882,826816
2020-07,United Kingdom,4127,809350
2020-08,United Kingdom,7048,555594
2020-09,United Kingdom,5382,646263
2020-10,United Kingdom,8547,108512
2020-11,United Kingdom,7960,374616
2020-12,United Kingdom,7246,366871
2021-01,United Kingdom,11952,808364
2021-02,United Kingdom,12475,193506
2021-03,United Kingdom,8710,270544
2020-01,South Africa,1578,591978
2020-02,South Africa,3423,389215
2020-03,South Africa,5216,423515
2020-04,South Africa,4202,33711
2020-05,South Africa,8255,185423
2020-06,South Africa,8987,704714
2020-07,South Africa,9082,825792
2020-08,South Africa,12374,768836
2020-09,South Africa,10996,808789
2020-10,South Africa,14485,3869
2020-11,South Africa,14989,313252
2020-12,South Africa,14048,91272
2021-01,South Africa,12923,878844
2021-02,South Africa,15845,59871
2021-03,South Africa,23024,440430
2020-01,Japan,721,831496
2020-02,Japan,1351,108450
2020-03,Japan,1816,282974
2020-04,Japan,2234,117381
2020-05,Japan,4240,135508
2020-06,Japan,3919,400111
2020-07,Japan,4977,574665
2020-08,Japan,4787,361032
2020-09,Japan,6204,370599
2020-10,Japan,8045,880611
2020-11,Japan,8225,46714
2020-12,Japan,8249,897048
2021-01,Japan,6182,712851
2021-02,Japan,11691,306628
2021-03,Japan,8552,830957
2020-01,Canada,753,884184
2020-02,Canada,1234,116294
2020-03,Canada,2300,649307
2020-04,Canada,2092,378812
2020-05,Canada,2427,706696
2020-06,Canada,3188,255079
2020-07,Canada,3861,689105
2020-08,Canada,6054,366890
2020-09,Canada,5611,37631
2020-10,Canada,4920,5014
2020-11,Canada,8540,823209
2020-12,Canada,6102,536017
2021-01,Canada,9559,198392
2021-02,Canada,10148,631152
2021-03,Canada,10075,499863
2020-01,Italy,1205,445209
2020-02,Italy,3100,665076
2020-03,Italy,2833,249710
2020-04,Italy,5073,857748
2020-05,Italy,5157,602863
2020-06,Italy,8538,595319
2020-07,Italy,6445,613210
2020-08,Italy,9138,407619
2020-09,Italy,11953,667326
2020-10,Italy,14000,119834
2020-11,Italy,13648,706086
2020-12,Italy,19667,285821
2021-01,Italy,17385,32024
2021-02,Italy,12745,390957
2021-03,Italy,16733,462243
2020-01,Spain,1227,252451
2020-02,Spain,2003,377836
2020-03,Spain,3539,722772
2020-04,Spain,3943,463894
2020-05,Spain,6792,728975
2020-06,Spain,8268,95476
2020-07,Spain,10902,871045
2020-08,Spain,6983,599135
2020-09,Spain,9381,29251
2020-10,Spain,13912,551233
2020-11,Spain,9474,9308
2020-12,Spain,10827,395366
2021-01,Spain,17625,75740
2021-02,Spain,12398,751201
2021-03,Spain,14370,178247
2020-01,Mexico,327,188628
2020-02,Mexico,703,135415
2020-03,Mexico,1230,554663
2020-04,Mexico,1677,638717
2020-05,Mexico,2313,467882
2020-06,Mexico,2061,68215
2020-07,Mexico,2251,204861
2020-08,Mexico,2287,455605
2020-09,Mexico,2745,700438
